,"Population"
"1951",-0.2
"1952",-0.02
"1953",0.1
"1954",0.2
"1955",0.28
"1956",0.35
"1957",0.42
"1958",0.51
"1959",0.61
"1960",0.67
"1961",0.74
"1962",0.8
"1963",0.81
"1964",0.84
"1965",0.81
"1966",0.76
"1967",0.72
"1968",0.61
"1969",0.47
"1970",0.36
"1971",0.28
"1972",0.17
"1973",0.03
"1974",-0.06
"1975",-0.14
"1976",-0.19
"1977",-0.18
"1978",-0.19
"1979",-0.2
"1980",-0.17
"1981",-0.13
"1982",-0.1
"1983",-0.06
"1984",0
"1985",0.09
"1986",0.21
"1987",0.37
"1988",0.5
"1989",0.56
"1990",0.57
"1991",0.54
"1992",0.51
"1993",0.46
"1994",0.38
"1995",0.3
"1996",0.22
"1997",0.17
"1998",0.11
"1999",0.04
"2000",-0.01
"2001",-0.05
"2002",-0.09
"2003",-0.12
"2004",-0.1
"2005",-0.07
"2006",-0.04
"2007",0.01
"2008",0.04
"2009",0.05
"2010",0.08
"2011",0.12
"2012",0.15
"2013",0.17
"2014",0.22
"2015",0.26
"2016",0.31
"2017",0.36
"2018",0.33
"2019",0.3
"2020",0.22
"2021",0.1
"2022",-0.05
"2023",-0.09
"2024",-0.05
"2025",-0.06
