# Sequence Data: seqnum=1;seqlen=123;seqhdr="BGC0001472_1 # 312 # 683 # 1 # ID=1_1;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642"
# Run Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="0|Mycoplasma_bovis_PG45|B|29.3|4|1";gc_cont=29.30;transl_table=4;uses_sd=1

Beg	End	Std	Total	CodPot	StrtSc	Codon	RBSMot	Spacer	RBSScr	UpsScr	TypeScr	GCCont

1	123	-	-19.51	-19.51	0.00	Edge	None	None	0.00	0.00	1.61	0.862

2	121	-	-8.11	-8.11	0.00	Edge	None	None	0.00	0.00	1.61	0.875

3	122	-	-21.14	-21.14	0.00	Edge	None	None	0.00	0.00	1.61	0.867

2	121	+	-35.35	-35.35	0.00	Edge	None	None	0.00	0.00	1.61	0.875

3	122	+	-22.61	-22.61	0.00	Edge	None	None	0.00	0.00	1.61	0.875

1	123	+	-30.34	-30.34	0.00	Edge	None	None	0.00	0.00	1.61	0.878

# Sequence Data: seqnum=2;seqlen=156;seqhdr="BGC0001472_2 # 686 # 1156 # 1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.660"
# Run Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="0|Mycoplasma_bovis_PG45|B|29.3|4|1";gc_cont=29.30;transl_table=4;uses_sd=1

Beg	End	Std	Total	CodPot	StrtSc	Codon	RBSMot	Spacer	RBSScr	UpsScr	TypeScr	GCCont

1	156	-	-24.56	-24.56	0.00	Edge	None	None	0.00	0.00	1.61	0.827

2	154	-	-27.22	-27.22	0.00	Edge	None	None	0.00	0.00	1.61	0.837

3	155	-	-25.04	-25.04	0.00	Edge	None	None	0.00	0.00	1.61	0.837

2	154	+	-17.70	-17.70	0.00	Edge	None	None	0.00	0.00	1.61	0.837

3	155	+	-26.37	-26.37	0.00	Edge	None	None	0.00	0.00	1.61	0.837

1	156	+	-20.02	-20.02	0.00	Edge	None	None	0.00	0.00	1.61	0.840

# Sequence Data: seqnum=3;seqlen=709;seqhdr="BGC0001472_3 # 1195 # 3324 # 1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.652"
# Run Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="32|Orientia_tsutsugamushi_Boryong|B|30.5|11|1";gc_cont=30.50;transl_table=11;uses_sd=1

Beg	End	Std	Total	CodPot	StrtSc	Codon	RBSMot	Spacer	RBSScr	UpsScr	TypeScr	GCCont

1	708	-	20.82	19.21	1.61	Edge	None	None	0.00	0.00	1.61	0.859

2	709	-	20.82	19.21	1.61	Edge	None	None	0.00	0.00	1.61	0.856

3	707	-	20.69	19.08	1.61	Edge	None	None	0.00	0.00	1.61	0.860

1	147	+	-54.13	-54.13	0.00	Edge	None	None	0.00	0.00	3.22	0.796

3	707	+	20.69	19.08	1.61	Edge	None	None	0.00	0.00	1.61	0.860

517	708	+	-73.98	-50.86	-23.12	GTG	None	None	-1.10	-13.38	-1.17	0.865

2	709	+	20.82	19.21	1.61	Edge	None	None	0.00	0.00	1.61	0.859
398	709	+	-171.90	-138.14	-33.76	TTG	None	None	-1.10	-16.04	-9.15	0.872

# Sequence Data: seqnum=4;seqlen=397;seqhdr="BGC0001472_4 # 3472 # 4665 # 1 # ID=1_4;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.642"
# Run Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="32|Orientia_tsutsugamushi_Boryong|B|30.5|11|1";gc_cont=30.50;transl_table=11;uses_sd=1

Beg	End	Std	Total	CodPot	StrtSc	Codon	RBSMot	Spacer	RBSScr	UpsScr	TypeScr	GCCont

1	396	-	8.01	6.40	1.61	Edge	None	None	0.00	0.00	1.61	0.836

2	397	-	8.01	6.40	1.61	Edge	None	None	0.00	0.00	1.61	0.831

3	395	-	7.89	6.28	1.61	Edge	None	None	0.00	0.00	1.61	0.837

3	98	+	-41.29	-44.51	3.22	Edge	None	None	0.00	0.00	3.22	0.792

1	396	+	8.01	6.40	1.61	Edge	None	None	0.00	0.00	1.61	0.836

# Sequence Data: seqnum=5;seqlen=233;seqhdr="BGC0001472_5 # 4869 # 5570 # -1 # ID=1_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.712"
# Run Data: version=Prodigal.v2.6.3;run_type=Metagenomic;model="0|Mycoplasma_bovis_PG45|B|29.3|4|1";gc_cont=29.30;transl_table=4;uses_sd=1

Beg	End	Std	Total	CodPot	StrtSc	Codon	RBSMot	Spacer	RBSScr	UpsScr	TypeScr	GCCont

1	231	-	-44.89	-44.89	0.00	Edge	None	None	0.00	0.00	1.61	0.818

2	232	-	-33.03	-33.03	0.00	Edge	None	None	0.00	0.00	1.61	0.818

3	233	-	-55.33	-55.33	0.00	Edge	None	None	0.00	0.00	1.61	0.814

1	231	+	-40.45	-40.45	0.00	Edge	None	None	0.00	0.00	1.61	0.818

2	232	+	-45.94	-45.94	0.00	Edge	None	None	0.00	0.00	1.61	0.818

3	233	+	-45.34	-45.34	0.00	Edge	None	None	0.00	0.00	1.61	0.818

# Sequence Data: seqnum=6;seqlen=542;seqhdr="BGC0001472_6 # 5567 # 7195 # -1 # ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.709"
